,created_at,source,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,location,clean_text
1010,Fri Jun 18 19:12:01 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-0.2364583333333333,0.3375,en,323.0,158.0,APHPaterson,344,999,,[],[],"Stroud, UK",dr moeti head who africa one best public health expert leader i know her desper request vaccin africa we plead germani uk lift patent restrict urgent transfer technolog enabl product africa
1011,Fri Jun 18 19:12:10 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.6,0.8,en,,,DudeBiotech,133,401,,,,DYOR! NO Advice! Read more!,nan
1012,Fri Jun 18 19:12:13 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.08333333333333333,0.35000000000000003,en,137.0,79.0,JeffNC9,1456,179,,"[{'text': 'COVID19', 'indices': [14, 22]}]",[],"Syracuse, NY",you get covid19 vaccin vaccin includ flu shingl visit you longer need wait 14 day vaccin side effect vaccin given alon togeth more vaccin time httpstcobv3mn5xdl httpstcorwrrzhkdeg
1013,Fri Jun 18 19:12:24 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.3,0.7222222222222222,en,1.0,2.0,FortWorthISD,26318,613,,,,"Fort Worth, Texas",nan
1014,Fri Jun 18 19:12:25 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.375,0.75,en,21.0,2.0,kiki_la_bulla,75,296,,,,sud[d]ista di adozione,nan
1015,Fri Jun 18 19:12:31 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.24318181818181814,0.5022727272727273,en,141.0,94.0,Gurihirufan7,19,85,,,,"White House, TN",nan
1016,Fri Jun 18 19:12:52 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.175,0.475,en,,,Rainbowandsteel,3473,387,,,,,nan
1017,Fri Jun 18 19:12:52 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.04545454545454545,0.18484848484848485,en,105.0,68.0,LHumeSastre,208,376,,[],[],,govern world health organis ngo around world ask pfizer ensur scienc win let go say lifesav vaccin recip pfizer respond say also word scienc win kid httpstcob9mn56vpuz
1018,Fri Jun 18 19:12:54 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",-0.0625,0.5,en,7.0,5.0,angryhacademic,1618,3286,,"[{'text': 'COVID19', 'indices': [66, 74]}, {'text': 'SARSCoV2', 'indices': [125, 134]}]",[],my mind,new covid19 vaccin may reach out t cell not just b cell covid19 vaccin develop could exploit newli discov sarscov2 protein creat vaccin activ t cell learn httpstcoekzs0qcigp httpstcohltmxif0yj
1019,Fri Jun 18 19:13:03 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0.04545454545454545,0.18484848484848485,en,,,LongCovidNYC,366,696,,,,,nan
1020,Fri Jun 18 19:13:13 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.3,0.4,en,88.0,38.0,lekshmidhar,88,363,,[],"[{'screen_name': 'IndiaCOVIDSOS', 'name': 'IndiaCOVIDSOS', 'id': 1385797144209096705, 'id_str': '1385797144209096705', 'indices': [265, 279]}]","Basel, Switzerland",what saw unfold india begun ravag uganda and continu vaccin equit avail i struggl make sens world day we learn lot india 2nd wave lesson broadli applic indiacovidso httpstcow750diqbqg
1021,Fri Jun 18 19:13:15 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.21233766233766235,0.4363636363636363,en,141.0,96.0,the5hine,425,176,,,, ,nan
1022,Fri Jun 18 19:13:23 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",-0.2364583333333333,0.3375,en,12.0,2.0,JobMatua,1221,731,,"[{'text': 'COVID19', 'indices': [76, 84]}]","[{'screen_name': 'jane_aceng', 'name': 'Jane Aceng', 'id': 2865864919, 'id_str': '2865864919', 'indices': [207, 218]}, {'screen_name': 'DianaAtwine', 'name': 'Dr. Diana Atwine', 'id': 3332580784, 'id_str': '3332580784', 'indices': [219, 231]}, {'screen_name': 'ainbyoo', 'name': 'Ainebyoona Emmanuel', 'id': 435793512, 'id_str': '435793512', 'indices': [232, 240]}, {'screen_name': 'lindahNabusayi', 'name': 'Nabusayi Lindah Wamboka', 'id': 891039428, 'id_str': '891039428', 'indices': [241, 256]}]",Uganda Africa(East Africa),which african countri especi subsaharan receiv adequ dose covid19 vaccin have bother establish dont tri pass knowledg matter pleas modest jane_aceng dianaatwin ainbyoo lindahnabusayi
1023,Fri Jun 18 19:13:25 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.0,en,25.0,27.0,nvfqsh,38,263,,"[{'text': 'ThisisIsrael', 'indices': [211, 224]}]","[{'screen_name': 'AIPAC', 'name': 'AIPAC', 'id': 15987296, 'id_str': '15987296', 'indices': [0, 6]}]", Malaysia,aipac will aipac tell world israel sold expir vaccin palestinian could disastr palestinian make covid19 crisi far wors lead palestinian death thisisisrael httpstcowtpn9xmsv
1024,Fri Jun 18 19:13:35 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.16666666666666666,0.18888888888888888,en,,,bonill07,1425,1819,,,,United States,nan
1025,Fri Jun 18 19:13:35 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.2277777777777777,0.6111111111111109,en,100.0,58.0,fermin771009,1958,4736,,"[{'text': 'DeltaVariant', 'indices': [87, 100]}]",[],"Guadalajara, Mexico",11 but sinovac issu though unclear calgari hospit 6 deltavari infect healthcar worker 5 fulli vaccin 2 dose mrna vaccin that spark infect across differ unit hospit delta problem
1026,Fri Jun 18 19:13:38 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-0.5222222222222223,1.0,en,,,Alaskacryptogi1,6705,7330,,,,"Alaska, USA",nan
1027,Fri Jun 18 19:13:50 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",-0.15000000000000002,0.6,en,0.0,1.0,youthdotgov,938,455,,"[{'text': 'COVID19', 'indices': [82, 90]}, {'text': 'WeCanDoThis', 'indices': [136, 148]}]",[],"Washington, DC",as father lead exampl set right one famili find covid19 vaccin near httpstcowdbskwt2fc wecandothi httpstcomnhifd6uk1
1028,Fri Jun 18 19:13:51 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.1590909090909091,0.6136363636363636,en,,,HCimiez,90,91,,,,,nan
1029,Fri Jun 18 19:13:52 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.16666666666666666,0.18888888888888888,en,8.0,7.0,Makambas,76484,1489,,"[{'text': 'coronavirus', 'indices': [37, 49]}]",[],"Johannesburg, South Africa",south africa record 10 510 new coronaviru case bring total 1 796 589 the depart health also report 118 death bring total 58 411 httpstcoipdmndwmpv
1030,Fri Jun 18 19:13:53 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.16666666666666666,0.18888888888888888,en,8.0,8.0,HerbertHamilton,1102,2497,,"[{'text': 'coronavirus', 'indices': [37, 49]}]",[],"Barberton, Mpumalanga",south africa record 10 510 new coronaviru case bring total 1 796 589 the depart health also report 118 death bring total 58 411 httpstcoipdmndwmpv
1031,Fri Jun 18 19:14:02 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.8333333333333333,en,324.0,159.0,SuePlatt2,81,420,,[],[],,dr moeti head who africa one best public health expert leader i know her desper request vaccin africa we plead germani uk lift patent restrict urgent transfer technolog enabl product africa
1032,Fri Jun 18 19:14:07 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.35000000000000003,0.7444444444444445,en,11.0,2.0,daisyserem,264,279,,"[{'text': 'cleanenergy', 'indices': [123, 135]}]","[{'screen_name': 'RockefellerFdn', 'name': 'The Rockefeller Foundation', 'id': 119049214, 'id_str': '119049214', 'indices': [34, 49]}, {'screen_name': 'IFC_org', 'name': 'IFC', 'id': 254235974, 'id_str': '254235974', 'indices': [54, 62]}]",,a new collabor rockefellerfdn ifc_org help lift whole commun energi poverti cleanenergi solut the collabor priorit countri subsaharan africa 70 household unelectrifi
1033,Fri Jun 18 19:14:16 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.14444444444444446,0.2,en,3.0,2.0,MxRevenge1,3691,3743,,[],[],Cape Town ,i hope true pa return almost expir vaccin israel whi would pa help israel buy vaccin israel duti provid covid19 vaccin occupi palestinian httpstcox9dntlnwlg
1034,Fri Jun 18 19:14:21 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.09454545454545453,0.4518181818181818,en,,,mfazomnyama_,106567,5620,,,,"eMsinga, South Africa",nan
1035,Fri Jun 18 19:14:24 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",3.7007434154171876e-17,0.6333333333333334,en,2.0,3.0,NC_Governor,171035,18,,"[{'text': 'FridayVaccineFacts', 'indices': [0, 19]}, {'text': 'BringingSummerBack', 'indices': [29, 48]}]",[],"North Carolina, USA",fridayvaccinefact bringingsummerback bring summer back fun flexibl communitycent approach provid safe effect covid19 vaccin 12 nc learn httpstcocb9eqr5avp httpstcok4xucmgkpi
1036,Fri Jun 18 19:14:36 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.0,0.2,en,13.0,5.0,IndySpiritus,253,680,,,,"LA County, USA",nan
1037,Fri Jun 18 19:14:38 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",-0.2364583333333333,0.3375,en,3.0,2.0,Allatsea4,1897,1717,,[],[],"London, England",thi happen we knew come month scale product it difficult see lack urgenc produc vaccin profit live could save it callou cruel even profound intergener impact
1038,Fri Jun 18 19:14:59 +0000 2021,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",0.24318181818181814,0.5022727272727273,en,,,THREADresearch,476,819,,,,"Orange County, CA",nan
1039,Fri Jun 18 19:15:00 +0000 2021,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0.0,0.0,en,,,JagranEnglish,11432,37,,,,"New Delhi, India",nan
1040,Fri Jun 18 19:15:01 +0000 2021,"<a href=""http://naattuvartha.byethost33.com"" rel=""nofollow"">Naattuvartha</a>",0.3,0.7222222222222222,en,0.0,1.0,viralvideovlogs,6856,4582,,"[{'text': 'COVID19', 'indices': [0, 8]}]",[],കേരളം,covid19 recoveri rate stand 96 india wit downward trend activ case health ministri httpstco57wpudsu9r
1041,Fri Jun 18 19:15:04 +0000 2021,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",0.1590909090909091,0.6136363636363636,en,,,CityAM,68667,794,,,,"London, England",nan
1042,Fri Jun 18 19:15:04 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.5666666666666667,0.7166666666666667,en,3.0,4.0,mark_himmer,1264,1593,,[],"[{'screen_name': 'robinmonotti2', 'name': 'Robin Monotti 🌸', 'id': 20106357, 'id_str': '20106357', 'indices': [0, 14]}, {'screen_name': 'RiseOfTheProles', 'name': 'Rise up Canadians!', 'id': 809764232111783936, 'id_str': '809764232111783936', 'indices': [15, 31]}]","Minnesota, USA",robinmonotti2 riseoftheprol btwcovid19 death super inflat rig pcr test use surviv rate covid19 viru 9997 death vaccin comparison infinit higher tri 1 million time like die covid19 shot actual viru httpstcooocr6ctzqz
1043,Fri Jun 18 19:15:14 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.125,0.325,en,760.0,251.0,Texasdem1,1911,4999,,"[{'text': 'WeCanDoThis', 'indices': [27, 39]}, {'text': 'COVID19', 'indices': [104, 112]}]",[],"Texas, USA",im pleas welcom wecandothi bu atlanta today rememb 3 easi way find covid19 vaccin near search httpstcod2pdwips8o text zip code 438829 call 18002320233 httpstcoammcmmctip
1044,Fri Jun 18 19:15:14 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.24318181818181814,0.5022727272727273,en,10.0,8.0,KalkidanCD,41,155,,"[{'text': 'COVID19', 'indices': [83, 91]}, {'text': 'AfricaResponds', 'indices': [215, 230]}, {'text': 'NewPublicHealthOrder', 'indices': [231, 252]}, {'text': 'ContinentalStrategy', 'indices': [253, 273]}]","[{'screen_name': 'AfricaCDC', 'name': 'Africa CDC', 'id': 3149176301, 'id_str': '3149176301', 'indices': [134, 144]}]",Democratic Republic of Congo,we pleas share adapt africa joint continent strategi covid19 pandem download africacdc websit sm platform download httpstcoasos0kaqin africarespond newpublichealthord continentalstrategi
1045,Fri Jun 18 19:15:26 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.09375,0.28125,en,416.0,129.0,jlypio35,375,503,,"[{'text': 'COVID19', 'indices': [219, 227]}]","[{'screen_name': 'GovWhitmer', 'name': 'Governor Gretchen Whitmer', 'id': 102071743, 'id_str': '102071743', 'indices': [1, 12]}]","Detroit, MI",govwhitm announc state open full capac june 22 more nine million vaccin administ new covid case fall oneyear low read recent updat httpstcolavrdagv47 find covid19 news michigan httpstconirbexcyoy httpstcolkqgfscvuk
1046,Fri Jun 18 19:15:28 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.31666666666666665,0.6111111111111109,en,913.0,509.0,Kimwinner4,127,446,,"[{'text': 'COVID19', 'indices': [80, 88]}]","[{'screen_name': 'DailyMonitor', 'name': 'Daily Monitor', 'id': 35697740, 'id_str': '35697740', 'indices': [257, 270]}]", Kenya ,we die ugandan need world stand we need oxygen ppe covid19 vaccin money pay overstretch health worker world need oxygen failur kill 30 covid patient mulago httpstcoo1k0iugf6z via dailymonitor
1047,Fri Jun 18 19:15:32 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",-0.2364583333333333,0.3375,en,,,idreamquest,360,384,,,,,nan
1048,Fri Jun 18 19:15:35 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.0,0.2,en,,,MarogaKR,1375,2100,,,,South Africa,nan
1049,Fri Jun 18 19:15:37 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.35000000000000003,0.7444444444444445,en,198.0,43.0,AntiQuackPhD,205,695,,"[{'text': 'COVID19', 'indices': [38, 46]}]",[],,peopl free believ covid19 hoax argu vaccin plotbut constitut right put peopl health risk as place work unless vaccin httpstcoxivwoctrfp
1050,Fri Jun 18 19:15:41 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.1958333333333333,0.2875,en,25.0,28.0,Linora,158,212,,"[{'text': 'ThisisIsrael', 'indices': [211, 224]}]","[{'screen_name': 'AIPAC', 'name': 'AIPAC', 'id': 15987296, 'id_str': '15987296', 'indices': [0, 6]}]",,aipac will aipac tell world israel sold expir vaccin palestinian could disastr palestinian make covid19 crisi far wors lead palestinian death thisisisrael httpstcowtpn9xmsv
1051,Fri Jun 18 19:15:44 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.21,0.4400000000000001,en,,,bonill07,1425,1820,,,,United States,nan
1052,Fri Jun 18 19:15:52 +0000 2021,"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",0.13333333333333333,0.4555555555555556,en,,,GuardianNigeria,2163796,469,,,,Nigeria,nan
1053,Fri Jun 18 19:15:57 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.09375,0.28125,en,137.0,80.0,adekleine,1041,994,,"[{'text': 'COVID19', 'indices': [14, 22]}]",[],,you get covid19 vaccin vaccin includ flu shingl visit you longer need wait 14 day vaccin side effect vaccin given alon togeth more vaccin time httpstcobv3mn5xdl httpstcorwrrzhkdeg
1054,Fri Jun 18 19:15:57 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.3,0.75,en,199.0,44.0,Hrefna_Rvn_Qn,119,120,,"[{'text': 'COVID19', 'indices': [38, 46]}]",[],Canada,peopl free believ covid19 hoax argu vaccin plotbut constitut right put peopl health risk as place work unless vaccin httpstcoxivwoctrfp
1055,Fri Jun 18 19:16:03 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.375,0.75,en,914.0,510.0,amwase,435,367,,"[{'text': 'COVID19', 'indices': [80, 88]}]","[{'screen_name': 'DailyMonitor', 'name': 'Daily Monitor', 'id': 35697740, 'id_str': '35697740', 'indices': [257, 270]}]",kampala,we die ugandan need world stand we need oxygen ppe covid19 vaccin money pay overstretch health worker world need oxygen failur kill 30 covid patient mulago httpstcoo1k0iugf6z via dailymonitor
1056,Fri Jun 18 19:16:22 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.34545454545454546,0.6181818181818182,en,,,MTone123,3204,251,,,,Calgary,nan
1057,Fri Jun 18 19:16:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.09375,0.28125,en,100.0,98.0,Colinegreen,2113,5002,,"[{'text': 'COVID19', 'indices': [187, 195]}]",[],,africa midst full blown third wave the sober trajectori surg case rous everyon urgent action weve seen india elsewher quickli covid19 rebound overwhelm health system
1058,Fri Jun 18 19:16:43 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.1,0.3,en,13.0,6.0,AndreaSakurada,1462,1334,,,,"Arica, Chile",nan
1059,Fri Jun 18 19:16:45 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.08,0.62,en,1.0,1.0,TomKiedrowski,2015,2173,,"[{'text': 'AstraZeneca', 'indices': [225, 237]}, {'text': 'CovidVaccine', 'indices': [238, 251]}, {'text': 'astrazenecavaccine', 'indices': [252, 271]}, {'text': 'Covid19', 'indices': [272, 280]}]",[],United Kingdom,astrazeneca claim victori eu vaccin deliveri case fine late suppli the eu lost case ftselist pharma suppli covid19 vaccin gt httpstcoso8dr2qwrc astrazeneca covidvaccin astrazenecavaccin covid19 httpstcocqmyqcdodq
1060,Fri Jun 18 19:16:46 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.2,en,71.0,37.0,defibette,59,423,,"[{'text': 'COVID19', 'indices': [15, 23]}]","[{'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [54, 61]}]",,how know covid19 vaccin safe cdc amp us_fda safeti monitor system make sure everi vaccin safe possibl one system vaer record advers event patient doctor signal potenti safeti issu more httpstcoxse61xdkc httpstcomeregynkpk
1061,Fri Jun 18 19:16:49 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",3.7007434154171876e-17,0.6333333333333334,en,2.0,1.0,samza_zaza,553,613,,[],[],,freedom is but an illus plandem plan continu even as the covid19 and vaccin are injur and murder thousand they push thi satan agenda worldwid httpstcodd9cgzp2yn
1062,Fri Jun 18 19:16:49 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.3333333333333333,0.7314814814814815,en,0.0,1.0,jollytoddlers,122,495,,"[{'text': 'COVID19', 'indices': [59, 67]}]",[],"Southampton, Pennsylvania",tomorrow buck counti celebr juneteenth free covid19 vaccin walkin welcom insur need vaccin held juneteenth festiv bristol mani locat list give back commun get vaccin today httpstcom0yzecuvaw
1063,Fri Jun 18 19:16:50 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.3958333333333333,0.4916666666666667,en,137.0,81.0,defibette,59,423,,"[{'text': 'COVID19', 'indices': [14, 22]}]",[],,you get covid19 vaccin vaccin includ flu shingl visit you longer need wait 14 day vaccin side effect vaccin given alon togeth more vaccin time httpstcobv3mn5xdl httpstcorwrrzhkdeg
1064,Fri Jun 18 19:16:54 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",-0.2364583333333333,0.3375,en,169.0,69.0,vickiw32,385,967,,"[{'text': 'DeltaVariant', 'indices': [12, 25]}, {'text': 'DeltaVariant', 'indices': [122, 135]}, {'text': 'COVID19', 'indices': [199, 207]}]",[],,13 similar deltavari worri hospit outbreak even w 2 dose mrna vaccines16 patient amp 6 hcw deltavari posit 616 patient amp 56 hcw receiv 2 dose covid19 vaccin a 2x vaccin 80year old also die httpstcoy4gubhlmyf
1065,Fri Jun 18 19:16:59 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",-0.5222222222222223,1.0,en,556.0,363.0,michmorgan01,122,311,,[],[],United Kingdom,yet anoth amazingli qualifi courag doctor roger hodkinson speak crazi govern polici respons covid i condens 45 minut the hirewir 6 twitter size edit start overview intervent vaccin httpstco2patfykyuz httpstcowcvq32s9wd
1066,Fri Jun 18 19:17:01 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>",0.125,0.2916666666666667,en,,,PuneUpdater,88,0,,,,,nan
1067,Fri Jun 18 19:17:01 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>",0.09375,0.28125,en,,,PuneUpdater,88,0,,,,,nan
1068,Fri Jun 18 19:17:01 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>",-0.08333333333333333,0.03333333333333333,en,,,PuneUpdater,88,0,,,,,nan
1069,Fri Jun 18 19:17:01 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>",-0.08333333333333333,0.03333333333333333,en,,,PuneUpdater,88,0,,,,,nan
1070,Fri Jun 18 19:17:06 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,en,147.0,98.0,felix_papaya,61,134,,,,they/them,nan
1071,Fri Jun 18 19:17:09 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.13333333333333333,0.4555555555555556,en,569.0,626.0,Wildraar,1204,4940,,[],"[{'screen_name': 'WHOAFRO', 'name': 'WHO African Region', 'id': 544389588, 'id_str': '544389588', 'indices': [81, 89]}, {'screen_name': 'jriggers', 'name': 'Jennifer Rigby', 'id': 174663886, 'id_str': '174663886', 'indices': [209, 218]}]",UK,africa midst fullblown third wave coronaviru head whoafro warn case risen across contin 20 death also risen 15 last week jrigger report httpstcocrdhqphfwm
1072,Fri Jun 18 19:17:14 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.19583333333333333,0.425,en,1853.0,134.0,lorcanoc,2149,2260,,"[{'text': 'Covid19', 'indices': [153, 161]}]","[{'screen_name': 'HSELive', 'name': 'HSE Ireland', 'id': 69298376, 'id_str': '69298376', 'indices': [270, 278]}]","Dublin City, Ireland",some good news friday yesterday highest daili administr vaccin 58000 on cours 330000 week hospit covid19 inpati 52 24 hospit 2 less 18 icu as alway let protect huge progress hseliv
1073,Fri Jun 18 19:17:22 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-0.08333333333333333,0.03333333333333333,en,,,SinoSantiago,430,305,,,,,nan
1074,Fri Jun 18 19:17:24 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.02499999999999998,0.4725,en,22.0,6.0,jasoncarvalhoHQ,1413,1017,,"[{'text': 'OneEastToronto', 'indices': [0, 15]}, {'text': 'COVID19', 'indices': [168, 176]}]","[{'screen_name': 'SRiverdaleCHC', 'name': 'South Riverdale CHC', 'id': 221784077, 'id_str': '221784077', 'indices': [84, 98]}]","In the Cloud |Toronto, Ontario",oneeasttoronto share face partnership meet bernadett lettner rn sriverdalechc ive ridden motorcycl lean host driver bring covid19 vaccin shelter group home supervis inject site httpstcoc1blnxin55 httpstco2bft72bj7t
1075,Fri Jun 18 19:17:24 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",3.7007434154171876e-17,0.6333333333333334,en,0.0,1.0,rkbsi,1285,1666,,"[{'text': 'Alberta', 'indices': [15, 23]}, {'text': 'COVID19', 'indices': [225, 233]}, {'text': 'COVIDAB', 'indices': [234, 242]}, {'text': 'vaccines', 'indices': [243, 252]}, {'text': 'health', 'indices': [253, 260]}]",[],"Calgary, AB",break news alberta health minist tyler shandro announc albertan receiv 1st vaccin dose may book 2nd dose and receiv june book 2nd dose four week 1st dose covid19 covidab vaccin health httpstcoxcd8ekkmcq
1076,Fri Jun 18 19:17:25 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0.1590909090909091,0.6136363636363636,en,20.0,27.0,nocompulsoryvac,7864,6147,,"[{'text': 'vaccine', 'indices': [166, 174]}, {'text': 'covid19', 'indices': [175, 183]}]",[],Australia,ns waiv ambul fee peopl advers reaction covid vaccin chang follow sever peopl told case werent covid emerg vaccin covid19 httpstcoc2f9cjbg8m
1077,Fri Jun 18 19:17:26 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.1,0.2095238095238095,en,71.0,38.0,16thStMALL,8034,8737,,"[{'text': 'COVID19', 'indices': [15, 23]}]","[{'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [54, 61]}]",16th St MALL ~ DENVER COLORADO,how know covid19 vaccin safe cdc amp us_fda safeti monitor system make sure everi vaccin safe possibl one system vaer record advers event patient doctor signal potenti safeti issu more httpstcoxse61xdkc httpstcomeregynkpk
1078,Fri Jun 18 19:17:41 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,en,11.0,9.0,Murendi,4089,1363,,"[{'text': 'coronavirus', 'indices': [37, 49]}]",[],Johannesburg/Inner Capetonian,south africa record 10 510 new coronaviru case bring total 1 796 589 the depart health also report 118 death bring total 58 411 httpstcoipdmndwmpv
1079,Fri Jun 18 19:17:42 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.24318181818181814,0.5022727272727273,en,1.0,1.0,nuala1990,198,361,,[],[],United Kingdom,it precis peopl have done research find come light theyv censor doesnt make wrong too much evid cannot ignor unless push wish held liabl
